#    FY4 Quest大全, Ver = 4.0.1
#
# 格式：
#  杀『搜索名称』【ID】简单说明 @物品文件路径
#  寻『搜索名称』〖中文名称〗【ID】简单说明 @物品文件路径
# 注："搜索名称"不含颜色码，"中文名称"含ANSI颜色码

杀『阿菜哥』【waiter】exp<1K,沉香:3s,e菜根香 @/d/chenxiang/npc/cx_waiter.c
杀『阿草』【a cao】exp=2M, @/d/shanliu/npc/tianzong1.c
杀『媒婆』【mei po】exp=10K, @/d/fy/npc/mei_po.c
杀『蒙古人』【mongol】exp=1K, @/d/guanwai/npc/mongol.c
杀『蒙面客』【figure】exp=4M, @/d/shaolin/npc/killerb.c
杀『蒙面客首领』【figure leader】exp=5M, @/d/shaolin/npc/killera.c
杀『梦痴』【master meng】exp=900K, @/d/shaolin/npc/master_20.c
杀『梦初』【shaolin monk】exp=20K,少林和尚 @/d/shaolin/npc/monk.c
杀『梦焕』【meng huan】, @/d/songshan/npc/teacher.c
杀『梦空』【shaolin monk】exp=20K,少林和尚 @/d/shaolin/npc/monk.c
杀『梦园』【shaolin monk】exp=20K,少林和尚 @/d/shaolin/npc/monk.c
杀『孟尝不花』【buhua】exp=6M, @/d/taiping/npc/piaoke.c
杀『孟婆』【mengpo】exp=5K, @/d/death/npc/mengpo.c
杀『蜜蜂』【bee】exp<1K, @/d/chuenyu/npc/bee.c
杀『苗烧天』【miao shaotian】exp=800K, @/d/chenxiang/npc/miao.c
杀『妙龄少女』【dancer】exp=300K, @/d/qianjin/npc/dancer.c
杀『磨菜刀的』【moman】exp<1K, @/d/chenxiang/npc/moo.c
杀『磨刀老人』【old man】exp=500K, @/d/libie/npc/oldman.c
杀『摩呼罗伽魔』【evil】exp=9M, @/d/taiping/npc/evil7.c
杀『莫不屈』【buqu】exp=1M, @/d/qingping/npc/mo.c
杀『牡丹』【pretty girl】exp=50K, @/d/palace/npc/girls.c
杀『慕容明珠』【murong mingzhu】exp=8M, @/d/biancheng/npc/murong.c
杀『木拉提』【mulati】exp<1K, @/d/xinjiang/npc/hockowner.c
杀『木牢狱卒』【prison guard】exp=1M, @/d/cave/npc/guard4.c
杀『木马』【wood horse】exp=20K, @/d/shaolin/npc/horse.c
杀『木人』【muren】exp=90K, @/d/shaolin/npc/muren.c
杀『牧羊女』【sheep girl】exp=7K, @/d/guanwai/npc/sheepgirl.c
杀『牧羊犬』【shepherd dog】exp=2M, @/d/guanwai/npc/sheepdog.c
杀『南风』【playing girl】exp=200K, @/d/palace/npc/playinggirl.c
杀『南宫灵』【master nangong】exp=2M, @/d/jinan/npc/master4.c
杀『南宫十二郎』【shier】exp=1M, @/d/xinjiang/npc/bankowner.c
杀『南宫十三郎』【nangong】, @/d/chenxiang/npc/bankowner.c
杀『南宫十四郎』【shisi】exp=2M, @/d/eren/npc/bankowner.c
杀『南宫十一郎』【shiyi】exp=1M, @/d/fy/npc/bankowner.c
杀『南宫小弟』【xiaodi】, @/d/biancheng/npc/nangong.C
杀『南山寺的和尚』【nanshan monk】exp=3M,,少林.褂搭寮 @/d/shaolin/npc/other_monk5.c
杀『年青人』【youngman】exp=1K, @/d/fy/npc/youngman.c
杀『念经的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『牛金羊』【killer i】exp=1M, @/d/cave/npc/killer_i.c
杀『牛肉汤』【niuroutang】exp=50K, @/d/baiyun/npc/niuroutang.c
杀『牛头』【niutou】exp=10K, @/d/death/npc/niutou.c
杀『农夫』【farmer】exp<1K,老屋、沉香、桃源、富贵都有 @/d/laowu/npc/farmer.c
杀『农家女』【nongnu】exp<1K, @/d/chenxiang/npc/girl.c
杀『农具店老板』【owner】exp<1K, @/d/chenxiang/npc/farmowner.c
杀『女土匪』【female tufei】exp=11K, @/d/bawang/npc/female_bandit.c
杀『女佣人』【cleaning maid】exp=20K, @/d/chuenyu/npc/cleangirl.c
杀『欧阳当』【ouyang dang】exp=4M, @/d/eren/npc/ouyang2.c
杀『欧阳丁』【ouyang ding】exp=4M, @/d/eren/npc/ouyang1.c
杀『欧阳朔』【ouyang shuo】exp=2M, @/d/cave/npc/weaponer.c
杀『欧阳镖师』【biaotou ouyang】exp=2M, @/d/fy/npc/biaotou1.c
杀『潘伶』【pan ling】exp=7M, @/d/biancheng/npc/panling.c
杀『盘灯孚尔』【pan deng】exp=4M, @/d/songshan/npc/lama3.c
杀『胖公子』【fat man】exp=7M, @/d/huashan/npc/fatman.c
杀『胖老头』【thin oldman】exp=20K, @/d/fycycle/npc/laotou.c
杀『胖嫖客』【piaoke】exp=50K, @/d/qianjin/npc/piaoke.c
杀『裴冥通天』【master peiming】exp=10M, @/d/manglin/npc/master.c
杀『陪酒女』【peijiunu】exp=300K, @/d/qianjin/npc/peijiunu.c
杀『彭长净』【peng】exp=5K, @/d/wudang/npc/taoist2.c
杀『蓬头乞』【peng begger】exp=2M, @/d/shanxi/npc/begger.C
杀『平凡上人』【shang ren】exp=4M, @/d/songshan/npc/xian2.c
杀『普生』【pusheng】exp=500K, @/d/fy/npc/hosowner.c
杀『七彩蝙蝠』【colorful bat】exp=500K, @/d/bat/npc/bianfu2.c
杀『七个半』【wineseller】exp=50K, @/d/shanliu/npc/sevenhalf.c
杀『漆雕战』【qidiao zhan】exp=200K,ls 太平客栈 ;ne;#3eu @/d/wolfmount/npc/qidiao.c
杀『齐小燕』【qi xiaoyan】exp=500K, @/d/guanwai/npc/qi.c
杀『乞丐』【beggar】exp<1K,老屋、关外 @/d/laowu/npc/beggar.c
杀『千金小姐』【lady】exp<1K, @/d/qianfo/npc/lady.c
杀『千年巨鳄』【king gator】exp=5M, @/d/eren2/npc/kingcor.c
杀『乾闼婆魔』【evil】exp=9M, @/d/taiping/npc/evil6.c
杀『钱不要』【qian buyao】exp=4M, @/d/tieflag/npc/qian2.c
杀『钱不赚』【qian buzuan】exp=4M, @/d/tieflag/npc/qian1.c
杀『俏鸨母』【mother】exp<1K, @/d/qianjin/npc/mother.c
杀『钦卫』【qinwei】exp=500K, @/d/fy/npc/xiwei.c
杀『秦歌』【qing ge】exp=33M, @/d/shanliu/npc/qinge.c
杀『秦护花』【qin huhua】exp=8M, @/d/zangbei/npc/huhua.c
杀『琴儿』【qiner】exp=5K, @/d/qingping/npc/qin.c
杀『琴客』【ke】exp=500M, @/d/fy/npc/mother1.c
杀『琴心』【qin xin】exp=2M, @/d/baiyun/npc/qinxin.c
杀『青龙会弟子』【guard】exp=200K, @/d/chenxiang/npc/guard.c
杀『青青』【qing qing】exp=1M, @/d/huashan/npc/qing.c
杀『青蛇』【snake】exp=1M, @/d/for_martea/maze/npc/snake.c
杀『青衣家丁』【guard】exp=2K, @/d/chuenyu/npc/jiading.c
杀『青衣老尼』【lao ni】exp=6M, @/d/taoguan/npc/laoni.c
杀『青衣人』【wood guardian】exp=200K, @/d/for_martea/maze/npc/w-sentry-2.c
杀『青衣少女』【cyan girl】exp=500K, @/d/tieflag/npc/cyngirl.c
杀『青衣武士』【wu shi】exp=1M, @/d/bat/npc/wei-shi3.c
杀『青衣小鬟』【girl】exp=5K, @/d/shenshui/npc/qinggirl.c
杀『青衣巡查使』【wood patrol】exp=200K, @/d/for_martea/maze/npc/w-sentry-3.c
杀『青翼蝙蝠』【deadly bat】exp=200K, @/d/bat/npc/bianfu1.c
杀『青竹蛇』【qingzhu she】exp=7M, @/d/biancheng/npc/qingzhu.c
杀『青竹先生』【zhu】exp=1M, @/d/fy/npc/zhu.c
杀『清波公子』【prince qingbo】exp<1K, @/d/chenxiang/npc/qingbo.c
杀『穷道士』【poor taoist】exp=2M, @/d/shanliu/npc/taoist1.c
杀『秋风刀』【guardian】exp=5M, @/d/fy/npc/fightnpc.c
杀『秋菊』【qiu ju】exp=5M, @/d/eren2/npc/girl3.c
杀『邱独』【qiu du】exp=700K, @/d/qianjin/npc/qiudu.c
杀『邱凤城』【qiu fengcheng】exp=7M, @/d/zangbei/npc/qiu.c
杀『曲无容』【wurong】exp=1M, @/d/guanyin/npc/qu.c
杀『雀子鹤』【zihe】exp=300K, @/d/songshan/npc/zihe.c
杀『人和老人』【master ren】exp=1M,汉柏院 @/d/daimiao/npc/ren.c
杀『人形怪物』【wolf man】exp=4M, @/d/palace/npc/wolfman.c
杀『人影』【shadow】exp=1K, @/d/guanyin/npc/ghost.c
杀『任慈』【master renci】exp=4M, @/d/jinan/npc/master5.c
杀『日后』【master queen】exp=5M, @/d/tieflag/npc/master2.c
杀『如意客栈老板』【laoban】exp=5K, @/d/fugui/npc/laoban.c
杀『软红』【girl】exp<1K, @/d/qianjin/npc/chick2.c
杀『塞外的和尚』【saiwai monk】exp=3M,,少林.褂搭寮 @/d/shaolin/npc/other_monk3.c
杀『散花少女』【flower girl】exp=8K, @/d/baiyun/npc/flowergirl.c
杀『丧尽天良的畜生』【pig】exp=6K, @/d/qianfo/npc/badguy.c
杀『扫地的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『扫地的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『扫地的中年女尼』【middle aged nun】exp=3M, @/d/eren/npc/m_nun.c
杀『杀人犯』【tufei】exp=600K, @/d/sharen/npc/bandit2.c
杀『杀人蜂』【killer bee】exp=30K, @/d/palace/npc/killerbee.c
杀『沙虫』【sandworm】exp=200K, @/d/eren/npc/sandworm.c
杀『沙海蛰龙』【hibernating dragon】exp=15M, @/d/quicksand/npc/sand_dragon.c
杀『沙罗门』【shaluomen】exp=50K, @/d/taishan/npc/pettrainer.c
杀『山道人』【taoist shan】exp=800K, @/d/taoguan/npc/shan.c
杀『山兔』【rabbit】, @/d/for_martea/maze/npc/rabbit.c
杀『山烟寺的和尚』【shanyansi monk】exp=3M, @/d/shaolin/npc/other_monk1.c
杀『山野毛贼』【thief】exp=10K, @/d/fugui/npc/poorrobber.c
杀『山寨弓箭手』【archer】exp=1M, @/d/zangbei/npc/archer.c
杀『山寨喽罗』【bandit】exp=1M, @/d/biancheng/npc/bandit.c
杀『商人』【trader】exp=5K, @/d/quicksand/npc/trader.c
杀『商玉龙』【seller】exp=1M, @/d/fy/npc/jadeowner.c
杀『上茶的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『上官金虹』【master shangguan】exp=8M, @/d/fy/npc/shangguan.c
杀『上官磷』【piaoke】exp=4M, @/d/taiping/npc/piaoke2.c
杀『烧饭的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『烧饭的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『神斧力士』【li shi】exp=700K, @/d/tieflag/npc/lishi.c
杀『神秘人』【mysterious man】exp=100M, @/d/shanliu/npc/shanliu.c
杀『沈浪』【shen lang】exp=8M, @/d/loulan/npc/shenlang.c
杀『沈三娘』【shen sanniang】exp=4M, @/d/biancheng/npc/sanniang.c
杀『沈银枪』【shen yinqiang】exp=2M, @/d/oldpine/npc/shenyinqiang.c
杀『沈璧君』【shen bijun】exp=600K, @/d/taishan/npc/shenbijun.c
杀『审判官』【judge】exp=9M, @/d/wiz/npc/judge.c
杀『生死判官』【death-judge】exp=2M, @/d/death/npc/panguan2.c
杀『盛存孝』【sheng cunxiao】exp=1M, @/d/taishan/npc/shengcunxiao.c
杀『盛大娘』【sheng daniang】exp=3M, @/d/taishan/npc/shengdaniang.c
杀『圣手书生』【shengshou shusheng】exp=7M, @/d/biancheng/npc/yunzhonghe.c
杀『石观音』【shi guanyin】exp=100M, @/d/guanyin/npc/master.c
杀『石秀云』【shi xiuyun】exp=100K, @/d/baiyun/npc/xiu4.c
杀『石雁』【master shi】exp=90M, @/d/wudang/npc/master.c
杀『食人鱼』【killer fish】exp=30K, @/d/palace/npc/killerfish.c
杀『侍女』【girl】exp=5K, @/d/shenshui/npc/girl.c
杀『侍卫』【shiwei】exp=100K, @/d/jinan/npc/shiwei.c
杀『侍卫统领』【shiwei】exp=500K, @/d/bat/npc/xunluo1.c
杀『室火猪』【killer l】exp=1M, @/d/cave/npc/killer_l.c
杀『收破烂的』【scavenger】exp<1K,风云、老屋、关外 @/d/fy/npc/scavenger.c
杀『守城官兵』【chenxiang garrison】exp=4M, @/d/chenxiang/npc/cg.c
杀『守护僧』【shaolin monk】exp=300K, @/d/songshan/npc/guardmonk.c
杀『守护天王』【tianwang】exp=1M, @/d/qianfo/npc/tianwang4.c
杀『瘦和尚』【fat bonze】exp=50K, @/d/fycycle/npc/thinmonk.c
杀『瘦僵尸』【zombie】exp=4M, @/d/biancheng/npc/zombie2.c
杀『瘦马』【horse】exp=20K, @/d/jinan/npc/shouma.c
杀『瘦嫖客』【piaoke】exp=50K, @/d/qianjin/npc/piaoke2.c
杀『梳头老师傅』【hair oldman】exp=1K, @/d/loulan/npc/hairjiang.c
杀『耍蛇乞丐』【playsnake beggar】exp=10K, @/d/shanliu/npc/snakebeggar.c
杀『双手如鸡爪的老妇』【old woman】exp=1M, @/d/xinjiang/npc/furen.c
杀『双双』【shuang shuang】exp=5K, @/d/cave/npc/shuang.c
杀『水牢狱卒』【prison guard】exp=1M, @/d/cave/npc/guard2.c
杀『水灵光』【shui lingguang】exp=50K, @/d/tieflag/npc/shui.c
杀『水蛇』【snake】exp=10K, @/d/wanmei/npc/snake.c
杀『水手』【shuishou】exp<1K, @/d/qianjin/npc/shuishou.c
杀『水桶般粗细的大海蟒』【sea snake】exp=1M, @/d/shenshui/npc/snake.c
杀『私塾先生』【sishu】exp=9K, @/d/fy/npc/taipo.c
杀『司晨客』【sichen】exp=6M, @/d/eren2/npc/star_chick.c
杀『司马小烟』【sima】exp=1K, @/d/eren/npc/sima.c
杀『司马镖师』【biaotou sima】exp=2M, @/d/fy/npc/biaotou3.c
杀『松实』【song shi】exp=6M, @/d/baiyun/npc/songshi.c
杀『松鼠』【song shu】, @/d/wudang/npc/songshu.c
杀『送菜的老和尚』【old monk】exp=4M, @/d/shaolin/npc/laomonk2.c
杀『宋长清』【song】exp=10K, @/d/wudang/npc/taoist3.c
杀『宋富贵』【song fugui】exp=4M, @/d/biancheng/npc/bosssong.c
杀『宋老板』【chen daguan】exp=4M, @/d/biancheng/npc/songboss.c
杀『宋老夫子』【song fuzi】exp=500K, @/d/guanwai/npc/songfuzi.c
杀『宋妈妈』【mother song】exp=2M, @/d/taiping/npc/song.c
杀『宋赛玉』【song saiyu】exp=1M, @/d/taiping/npc/songson.c
杀『宋甜儿』【song tianer】exp=80K, @/d/jinan/npc/songtian.c
杀『宋中』【songzhong】exp=100K, @/d/taishan/npc/songzong.c
杀『苏红儿』【suhong】exp=300K, @/d/fy/npc/fywaiter.c
杀『苏玛』【xintu】exp=10K, @/d/guanwai/npc/xintu.c
杀『苏蓉蓉』【su rongrong】exp=80K, @/d/jinan/npc/surong.c
杀『苏少英』【su shaoying】exp=300K, @/d/shanxi/npc/sushaoying.c
杀『酸梅汤』【suanmei tang】exp=500K, @/d/fugui/npc/suan.c
杀『酸秀才』【xiucai】exp=2M, @/d/shanliu/npc/xiucai.c
杀『碎纸片右下角』【some paper】, @/d/biancheng/npc/paper_4.c
杀『孙驰骑』【sun chiqi】exp=690K, @/d/loulan/npc/guard2.c
杀『孙剑』【sun jian】exp=8M, @/d/zangbei/npc/sunjian.c
杀『孙巨』【sun ju】exp=8M, @/d/zangbei/npc/sunju.c
杀『孙剃头』【barber sun】exp=1M, @/d/taiping/npc/barber.c
杀『孙天灭』【fighter】exp=100K, @/d/taoguan/npc/waiter_taoist.c
杀『孙驼子』【sun tuozi】exp=500K, @/d/songshan/npc/tie_waiter.c
杀『孙小红』【sun xiaohong】exp=500K, @/d/songshan/npc/bu_waiter.c
杀『孙秀青』【sun xiuqin】exp=100K, @/d/baiyun/npc/xiu3.c
杀『孙玉伯』【sun yubo】exp=20M, @/d/zangbei/npc/laobo.c
杀『孙远超』【sun yuanchao】exp=300K, @/d/huashan/npc/bailong.c
杀『蓑笠老翁』【old man】exp=400K, @/d/baiyun/npc/baiyunxian.c
杀『塔公寺的喇嘛』【tagong lama】exp=2M, @/d/zangbei/npc/monk2.c
杀『塔僧』【tower guard】exp=20K, @/d/guanwai/npc/towerguard1.c
杀『塔祝』【keeper】exp<1K, @/d/guanwai/npc/keeper.c
杀『泰庙的和尚』【taimiao monk】exp=3M,,少林.褂搭寮east @/d/shaolin/npc/other_monk8.c
杀『太白逸』【taibai yi】exp=500K, @/d/huangshan/npc/dizi.c
杀『谭天豹』【tan tianbao】exp=7M, @/d/taiping/npc/tan3.c
杀『谭天虎』【tan tianhu】exp=7M, @/d/taiping/npc/tan2.c
杀『谭天龙』【tan tianlong】exp=6M, @/d/taiping/npc/tan1.c
杀『探险者』【explorer】exp=50K, @/d/huashan/npc/explorer.c
杀『汤野』【tang ye】exp=2M, @/d/cave/npc/tangye.c
杀『唐大』【tang da】exp=6M, @/d/taiping/npc/tangda.c
杀『唐可卿』【keqing】exp=500K, @/d/laowu/npc/dang.c
杀『唐一方』【master tang】exp=1M, @/d/baiyun/npc/master2.c
杀『趟子手』【tang】exp=50K, @/d/fy/npc/biaoshi1.c
杀『桃花娘子』【taohua】exp=12M, @/d/eren/npc/taohua.c
杀『淘米的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『淘米的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『陶包包』【kid】exp<1K,桃源/武当小镇,Rmove, @/d/wudang/npc/xiaotong.c
杀『陶保义』【tao baoyi】exp=500K, @/d/biancheng/npc/sickman.c
杀『陶宝宝』【kid】exp<1K,桃源/武当小镇,Rmove, @/d/wudang/npc/xiaotong.c
杀『陶氏』【tao shi】exp=500K, @/d/biancheng/npc/sickwoman.c
杀『天肥』【dashi】exp=R(1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天枫十四郎』【tianfeng】exp=3M, @/d/wudang/npc/tianfeng14.c
杀『天峰』【master tian】exp=5M, @/d/shaolin/npc/master_15.c
杀『天凤』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天虎』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天机老人』【tianji】exp=100M, @/d/fy/npc/half_god.c
杀『天牢守卫』【prison guard】exp=2M, @/d/jinan/npc/guard.c
杀『天龙』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天美公主』【tianmei】exp=7M, @/d/zangbei/npc/tianmei.c
杀『天时老人』【master tian】exp=1M, @/d/daimiao/npc/tian.c
杀『天兽』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天孙』【tian sun】exp=100M, @/d/taishan/npc/tiansun.c
杀『天无刀』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天无剑』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『天宣』【dashi】exp=1M,兴国和尚 @/d/qianfo/npc/bigmonk.c
杀『田膨郎』【tianpeng lang】exp=50K, @/d/chenxiang/npc/tianpeng.c
杀『田丝丝』【tian sisi】exp=80K, @/d/shanliu/npc/tiansisi.c
杀『田心』【tian xin】exp=100K, @/d/fugui/npc/tianxin.c
杀『挑山夫』【labor】exp=1K, @/d/daimiao/npc/tiao.c
杀『挑水的道士』【daoshi】exp<1K,岱庙&泰山 @/d/daimiao/npc/daoshi.c|/d/songshan/npc/daoshi.c
杀『挑水的和尚』【monk】exp<1K,兴国.名字随机 @/d/qianfo/npc/monk.c
杀『贴身丫鬟』【maid】exp=3M, @/d/palace/npc/maid.c
杀『铁畅』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolfc.c
杀『铁传甲』【royal servant】exp=500K, @/d/fy/npc/servent.c
杀『铁风』【fighter wolf】exp=100K, @/d/wolfmount/npc/fwolf2.c
杀『铁恨』【tie hen】exp=7M, @/d/biancheng/npc/tiehen.c
杀『铁护卫』【tie wei】exp=40K, @/d/daimiao/npc/tie.c
杀『铁剑』【iron boy】exp=1M, @/d/wudang/npc/swordboy4.c
杀『铁江』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolfe.c
杀『铁坎』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolf.c
杀『铁雷』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolfb.c
杀『铁力』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolfa.c
杀『铁面人』【maskman】exp=5M, @/d/eren2/npc/maskman_i.c
杀『铁萍姑』【tie pinggu】exp=2M, @/d/eren/npc/pinggu.c
杀『铁山』【fighter wolf】exp=80K, @/d/wolfmount/npc/fwolfd.c
杀『铁少』【master tieshao】exp=10M, @/d/resort/npc/master.c
杀『铁雨』【fighter wolf】exp=100K, @/d/wolfmount/npc/fwolf2a.c
杀『铁战』【master tiezhan】exp=800K, @/d/wolfmount/npc/tiezhan.c
杀『铁中棠』【master tie】exp=4M, @/d/tieflag/npc/master.c
杀『通缉犯』【tufei】exp=100K, @/d/sharen/npc/bandit1.c
杀『铜护卫』【tong wei】exp=30K, @/d/daimiao/npc/tong.c
杀『铜剑』【bronze boy】exp=1M, @/d/wudang/npc/swordboy3.c
杀『铜面人』【maskman】exp=5M, @/d/eren2/npc/maskman_c.c
杀『屠娇娇』【tu jiaojiao】exp=5M, @/d/eren2/npc/tujiaojiao.c
杀『屠老虎』【tu laohu】exp=4M, @/d/eren/npc/tulaohu.c
杀『屠老虎』【tu laohu】exp=4M, @/d/zangbei/npc/tulaohu.c
杀『屠小娇』【tu xiaojiao】exp=3M, @/d/eren/npc/xiaojiao.c
杀『土匪』【bandit】exp=1K, @/d/oldpine/npc/bandit.c
杀『土匪老大』【bandit chief】exp=6K, @/d/oldpine/npc/bandit_chief.c
杀『土匪首领』【bandit leader】exp=50K, @/d/oldpine/npc/bandit_leader.c
杀『土匪喽罗』【bandit】exp=4K, @/d/oldpine/npc/bandit_guard.c
杀『土牢狱卒』【prison guard】exp=4M, @/d/cave/npc/guard5.c
杀『土娼』【girl】exp<1K, @/d/fy/npc/chick.c
杀『吐鲁番商人』【tulufan trader】exp=3K, @/d/xinjiang/npc/trader.c
杀『吐鲁番少女』【pretty girl】exp=50K, @/d/xinjiang/npc/girl.c
杀『驼背老汉』【han】exp<1K, @/d/fy/npc/wineowner.c
杀『驼背老人』【oldman】exp<1K, @/d/wudang/npc/seller1.c
杀『驼子喇嘛』【travel lama】exp=500K, @/d/quicksand/npc/thinlama.c
杀『拓跋战』【tuoba zhan】exp=200K, @/d/wolfmount/npc/tuoba.c
杀『完颜钢』【wanyan gang】exp=2M, @/d/wolfmount/npc/kunlun2.c
杀『完颜铁』【wanyan tie】exp=2M, @/d/wolfmount/npc/kunlun1.c
杀『万春流』【wan chunliu】exp=4M, @/d/eren/npc/chunliu.c
杀『万小春』【wan xiaochun】exp=200K, @/d/wolfmount/npc/xiaowan.c
杀『王大路』【fishman wang】exp=2M, @/d/taiping/npc/fishman.c
杀『王动』【master wang】exp=4M, @/d/fugui/npc/wang.c
杀『王风』【officer】exp=1K, @/d/fy/npc/officer.c
杀『王夫人』【ms wang】exp=600K, @/d/loulan/npc/ms_wang.c
杀『王虎』【wanghu】exp=5K, @/d/taishan/npc/pettrainer4.c
杀『王静凌』【wang jingling】exp=3M, @/d/yinghe/npc/wa_guard7.c
杀『王怜花』【wang lianhua】exp=2M, @/d/loulan/npc/wang.c
杀『王胖子』【seller】exp=2M, @/d/shanxi/npc/xiaofan4.c
杀『王仁德』【kaoguan】, @/d/fy/npc/kaoguan.c
杀『王若钢』【wang】exp=35K, @/d/daimiao/npc/gang1.c
杀『王若兰』【wang ruolan】exp=4M, @/d/bawang/npc/wang_ruo_lan.c
杀『王蛇』【wang snake】exp=10M, @/d/shanliu/npc/wangsnake.c
杀『王石匠』【wang】exp=1K, @/d/chenxiang/npc/wang.c
杀『王天寿』【wang tian shou】exp=1M, @/d/bat/npc/wang.c
杀『王侠骑』【wang xiaqi】exp=650K, @/d/loulan/npc/guard4.c
杀『王小路』【fishman wang】exp=4M, @/d/eren/npc/fishman.c
杀『王一虎』【wang yihu】exp=600K, @/d/bawang/npc/yi_hu.c
杀『王莹』【wang ying】exp=10K, @/d/huangshan/npc/wang.c
杀『王雨楼』【wang yulou】exp=4M, @/d/huangshan/npc/wangyulou.c
杀『王震湘』【wang zhenxiang】exp=4M, @/d/huangshan/npc/taihuwang.c
杀『王镖师』【wang】exp=500K, @/d/fy/npc/biaoshi_wang.c
杀『危月燕』【killer k】exp=1M, @/d/cave/npc/killer_k.c
杀『尾火虎』【killer s】exp=1M, @/d/cave/npc/killer_s.c
杀『胃土熊』【killer w】exp=1M, @/d/cave/npc/killer_w.c
杀『魏白衣』【wei baiyi】exp=6M, @/d/eren2/npc/mice1.c
杀『魏包包』【kid】exp<1K,桃源/武当小镇,Rmove, @/d/wudang/npc/xiaotong.c
杀『魏宝宝』【kid】exp<1K,桃源/武当小镇,Rmove, @/d/wudang/npc/xiaotong.c
杀『魏红衣』【wei hongyi】exp=5M, @/d/eren2/npc/mice5.c
杀『魏黄衣』【wei huangyi】exp=6M, @/d/eren2/npc/mice2.c
杀『魏麻衣』【wei mayi】exp=6M, @/d/eren2/npc/mice4.c
杀『魏青衣』【wei qingyi】exp=6M, @/d/eren2/npc/mice3.c
杀『魏无牙』【wei wuya】exp=15M, @/d/eren2/npc/wuya.c
杀『魏行龙』【wei xing long】exp=900K, @/d/bat/npc/wei.c
杀『魏紫衣』【wei ziyi】exp=5M, @/d/eren2/npc/mice6.c
杀『卫天鹏』【wei tianpeng】exp=800K, @/d/guanwai/npc/weitianpeng.c
杀『卫天鹰』【wei tianying】exp=2M, @/d/chenxiang/npc/wei.c
杀『温和』【wenhe】exp=100K, @/d/wolfmount/npc/wenhe.c
杀『温良玉』【wen liangyu】exp=10M, @/d/wolfmount/npc/liangyu.c
杀『温顺』【wenshun】exp=100K, @/d/wolfmount/npc/wenshun.c
杀『温文』【wenwen】exp=100K, @/d/wolfmount/npc/wenwen.c
杀『温辛』【wenxin】exp=100K, @/d/wolfmount/npc/wenxin.c
杀『文人墨客』【wenren】exp=50K, @/d/taishan/npc/yaren.c
杀『文士』【wen shi】exp=10M, @/d/huashan/npc/meishan.c
杀『乌拉泊商人』【wulapo trader】exp=3K, @/d/xinjiang/npc/trader2.c
杀『无恨生』【wu hensheng】exp=4M, @/d/songshan/npc/xian1.c
杀『无花』【master wu】exp=5M, @/d/shaolin/npc/master_16.c
杀『无聊少年』【shaonian】exp=1K, @/d/fy/npc/dtz1.c
杀『无名』【old monk】exp=2M, @/d/shanliu/npc/monk1.c
杀『无名夫人』【old woman】exp<1K, @/d/tieflag/npc/jiayi.c
杀『无名客』【ke】exp=500M, @/d/fy/npc/mother4.c
杀『无名老人』【anonymous oldman】exp=8M, @/d/zangbei/npc/lumantian2.c
杀『无名寺的和尚』【wild monk】exp=3M, @/d/shaolin/npc/other_monk6.c
杀『无色』【old monk】exp=2M, @/d/shanliu/npc/monk2.c
杀『无烟』【wuyan】exp=8M, @/d/taiping/npc/dummy.c
杀『吴青』【wuqing】exp=5M, @/d/fy/npc/tiemian.c
杀『武林大豪杰』【toughman】exp=100K, @/d/chenxiang/npc/haojie1.c
杀『武林叛徒』【tufei】exp=2M, @/d/sharen/npc/bandit5.c
杀『武林小豪杰』【toughman】exp=10K, @/d/chenxiang/npc/haojie.c
杀『武三爷』【wu sanye】exp=9M, @/d/taiping/npc/sanye.c
杀『五彩神仙鱼』【fish】, @/d/wolfmount/npc/fish.c
